dataset,celltype,pr_auc
UC1_UC3,BEST2+ Goblet cell,0.879
UC1_UC3,BEST2+ Goblet cell,0.865
UC1_UC3,BEST2+ Goblet cell,0.864
UC1_UC3,BEST2+ Goblet cell,0.86
UC1_UC3,BEST2+ Goblet cell,0.888
UC1_UC3,BEST2+ Goblet cell,0.886
UC1_UC3,BEST2+ Goblet cell,0.884
UC1_UC3,TA,0.859
UC1_UC3,TA,0.896
UC1_UC3,TA,0.904
UC1_UC3,TA,0.905
UC1_UC3,TA,0.905
UC1_UC3,TA,0.905
UC1_UC3,TA,0.902
UC1_UC3,TA,0.902
UC1_UC3,TA,0.907
UC1_UC3,TA,0.862
UC1_UC3,Colonocyte,0.826
UC1_UC3,Colonocyte,0.826
UC1_UC3,Colonocyte,0.822
UC1_UC3,Colonocyte,0.831
UC1_UC3,Colonocyte,0.828
UC1_UC3,Colonocyte,0.826
UC1_UC3,Colonocyte,0.826
UC1_UC3,Colonocyte,0.826
UC1_UC3,Colonocyte,0.784
UC1_UC3,Colonocyte,0.854
UC1_UC3,Goblet cell,0.911
UC1_UC3,Goblet cell,0.928
UC1_UC3,Goblet cell,0.925
UC1_UC3,Goblet cell,0.926
UC1_UC3,Goblet cell,0.928
UC1_UC3,Goblet cell,0.912
UC1_UC3,Goblet cell,0.934
UC1_UC3,Goblet cell,0.916
UC1_UC3,Goblet cell,0.913
UC1_UC3,Goblet cell,0.915
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,IgA plasma cell,0.999
UC1_UC3,IgA plasma cell,0.998
UC1_UC3,BEST4+ epithelial,0.827
UC1_UC3,BEST4+ epithelial,0.861
UC1_UC3,BEST4+ epithelial,0.861
UC1_UC3,BEST4+ epithelial,0.855
UC1_UC3,BEST4+ epithelial,0.772
UC1_UC3,BEST4+ epithelial,0.786
UC1_UC3,BEST4+ epithelial,0.83
UC1_UC3,BEST4+ epithelial,0.811
UC1_UC3,BEST4+ epithelial,0.787
UC1_UC3,BEST4+ epithelial,0.856
UC1_UC3,EC cells (TAC1+),0.841
UC1_UC3,EC cells (TAC1+),0.851
UC1_UC3,EC cells (TAC1+),0.877
UC1_UC3,EC cells (TAC1+),0.852
UC1_UC3,EC cells (TAC1+),0.856
UC1_UC3,EC cells (TAC1+),0.896
UC1_UC3,EC cells (TAC1+),0.844
UC1_UC3,EC cells (TAC1+),0.841
UC1_UC3,EC cells (TAC1+),0.853
UC1_UC3,EC cells (TAC1+),0.841
UC1_UC3,Stem cells,0.912
UC1_UC3,Stem cells,0.928
UC1_UC3,Stem cells,0.918
UC1_UC3,Stem cells,0.92
UC1_UC3,Stem cells,0.904
UC1_UC3,Stem cells,0.923
UC1_UC3,Stem cells,0.914
UC1_UC3,Stem cells,0.912
UC1_UC3,Stem cells,0.922
UC1_UC3,Stem cells,0.918
UC1_UC3,cDC2,0.919
UC1_UC3,cDC2,0.879
UC1_UC3,cDC2,0.939
UC1_UC3,cDC2,0.899
UC1_UC3,cDC2,0.944
UC1_UC3,cDC2,0.86
UC1_UC3,cDC2,0.859
UC1_UC3,cDC2,0.901
UC1_UC3,cDC2,0.954
UC1_UC3,cDC2,0.905
UC1_UC5,Activated T,0.737
UC1_UC5,Activated T,0.728
UC1_UC5,Activated T,0.745
UC1_UC5,Activated T,0.732
UC1_UC5,Activated T,0.728
UC1_UC5,Activated T,0.819
UC1_UC5,Activated T,0.728
UC1_UC5,Activated T,0.761
UC1_UC5,Activated T,0.717
UC1_UC5,Activated T,0.706
UC1_UC5,Cycling B cell,0.991
UC1_UC5,Cycling B cell,0.981
UC1_UC5,Cycling B cell,0.974
UC1_UC5,Cycling B cell,0.983
UC1_UC5,Cycling B cell,0.985
UC1_UC5,Cycling B cell,0.977
UC1_UC5,Cycling B cell,0.974
UC1_UC5,Cycling B cell,0.983
UC1_UC5,Cycling B cell,0.981
UC1_UC5,Cycling B cell,0.983
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,IgA plasma cell,0.608
UC1_UC5,IgA plasma cell,0.608
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,IgA plasma cell,0.507
UC1_UC5,IgA plasma cell,0.424
UC1_UC5,Contractile pericyte (PLN+),0.932
UC1_UC5,Contractile pericyte (PLN+),0.863
UC1_UC5,Contractile pericyte (PLN+),0.727
UC1_UC5,Contractile pericyte (PLN+),0.97
UC1_UC5,Contractile pericyte (PLN+),0.727
UC1_UC5,Contractile pericyte (PLN+),0.916
UC1_UC5,Contractile pericyte (PLN+),0.727
UC1_UC5,Contractile pericyte (PLN+),0.84
UC1_UC5,Contractile pericyte (PLN+),0.932
UC1_UC5,Contractile pericyte (PLN+),0.916
UC1_UC5,cDC2,0.587
UC1_UC5,cDC2,0.573
UC1_UC5,cDC2,0.671
UC1_UC5,cDC2,0.587
UC1_UC5,cDC2,0.573
UC1_UC5,cDC2,0.573
UC1_UC5,cDC2,0.591
UC1_UC5,cDC2,0.602
UC1_UC5,cDC2,0.573
UC1_UC5,cDC2,0.622
UC2_UC1,Mature venous EC,0.85
UC2_UC1,Mature venous EC,0.852
UC2_UC1,Mature venous EC,0.85
UC2_UC1,Mature venous EC,0.861
UC2_UC1,Mature venous EC,0.854
UC2_UC1,Mature venous EC,0.849
UC2_UC1,Mature venous EC,0.857
UC2_UC1,Mature venous EC,0.854
UC2_UC1,Mature venous EC,0.859
UC2_UC1,Mature venous EC,0.85
UC2_UC1,Adult Glia,0.667
UC2_UC1,Adult Glia,0.667
UC2_UC1,Adult Glia,0.621
UC2_UC1,Adult Glia,0.622
UC2_UC1,Adult Glia,0.621
UC2_UC1,Adult Glia,0.62
UC2_UC1,Adult Glia,0.618
UC2_UC1,Adult Glia,0.628
UC2_UC1,Adult Glia,0.638
UC2_UC1,Adult Glia,0.628
UC2_UC1,IgA plasma cell,0.835
UC2_UC1,IgA plasma cell,0.818
UC2_UC1,IgA plasma cell,0.809
UC2_UC1,IgA plasma cell,0.783
UC2_UC1,IgA plasma cell,0.812
UC2_UC1,IgA plasma cell,0.792
UC2_UC1,IgA plasma cell,0.773
UC2_UC1,IgA plasma cell,0.81
UC2_UC1,IgA plasma cell,0.835
UC2_UC1,IgA plasma cell,0.84
UC2_UC1,Stromal 4 (MMP1+),0.995
UC2_UC1,Stromal 4 (MMP1+),0.996
UC2_UC1,Stromal 4 (MMP1+),0.999
UC2_UC1,Stromal 4 (MMP1+),0.997
UC2_UC1,Stromal 4 (MMP1+),0.997
UC2_UC1,Stromal 4 (MMP1+),0.999
UC2_UC1,Stromal 4 (MMP1+),0.995
UC2_UC1,Stromal 4 (MMP1+),0.994
UC2_UC1,Stromal 4 (MMP1+),0.994
UC2_UC1,Stromal 4 (MMP1+),0.998
UC2_UC1,Contractile pericyte (PLN+),0.858
UC2_UC1,Contractile pericyte (PLN+),0.858
UC2_UC1,Contractile pericyte (PLN+),0.858
UC2_UC1,Contractile pericyte (PLN+),0.859
UC2_UC1,Contractile pericyte (PLN+),0.859
UC2_UC1,Contractile pericyte (PLN+),0.859
UC2_UC1,Contractile pericyte (PLN+),0.88
UC2_UC1,Contractile pericyte (PLN+),0.88
UC2_UC1,Contractile pericyte (PLN+),0.835
UC2_UC1,Contractile pericyte (PLN+),0.836
UC2_UC1,Fetal venous EC,0.952
UC2_UC1,Fetal venous EC,0.967
UC2_UC1,Fetal venous EC,1.0
UC2_UC1,Fetal venous EC,0.911
UC2_UC1,Fetal venous EC,0.927
UC2_UC1,Fetal venous EC,0.973
UC2_UC1,Fetal venous EC,0.973
UC2_UC1,Fetal venous EC,0.973
UC2_UC1,Fetal venous EC,0.981
UC2_UC1,Fetal venous EC,0.956
UC2_UC1,Mature arterial EC,0.867
UC2_UC1,Mature arterial EC,0.871
UC2_UC1,Mature arterial EC,0.861
UC2_UC1,Mature arterial EC,0.876
UC2_UC1,Mature arterial EC,0.861
UC2_UC1,Mature arterial EC,0.851
UC2_UC1,Mature arterial EC,0.879
UC2_UC1,Mature arterial EC,0.879
UC2_UC1,Mature arterial EC,0.893
UC2_UC1,Mature arterial EC,0.852
UC2_UC1,Stromal 2 (NPY+),0.718
UC2_UC1,Stromal 2 (NPY+),0.736
UC2_UC1,Stromal 2 (NPY+),0.749
UC2_UC1,Stromal 2 (NPY+),0.738
UC2_UC1,Stromal 2 (NPY+),0.751
UC2_UC1,Stromal 2 (NPY+),0.723
UC2_UC1,Stromal 2 (NPY+),0.767
UC2_UC1,Stromal 2 (NPY+),0.771
UC2_UC1,Stromal 2 (NPY+),0.709
UC2_UC1,Stromal 2 (NPY+),0.702
UC2_UC1,mLTo,0.995
UC2_UC1,mLTo,0.995
UC2_UC1,mLTo,0.995
UC2_UC1,mLTo,0.996
UC2_UC1,mLTo,0.995
UC2_UC1,mLTo,0.995
UC2_UC1,mLTo,0.999
UC2_UC1,mLTo,0.999
UC2_UC1,mLTo,0.997
UC2_UC1,mLTo,0.996
UC2_UC1,Pericyte,0.875
UC2_UC1,Pericyte,0.875
UC2_UC1,Pericyte,0.894
UC2_UC1,Pericyte,0.882
UC2_UC1,Pericyte,0.876
UC2_UC1,Pericyte,0.899
UC2_UC1,Pericyte,0.874
UC2_UC1,Pericyte,0.874
UC2_UC1,Pericyte,0.903
UC2_UC1,Pericyte,0.874
UC2_UC1,Fetal arterial EC,0.963
UC2_UC1,Fetal arterial EC,0.953
UC2_UC1,Fetal arterial EC,0.956
UC2_UC1,Fetal arterial EC,0.966
UC2_UC1,Fetal arterial EC,0.963
UC2_UC1,Fetal arterial EC,0.957
UC2_UC1,Fetal arterial EC,0.987
UC2_UC1,Fetal arterial EC,0.985
UC2_UC1,Fetal arterial EC,0.983
UC2_UC1,Fetal arterial EC,0.977
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,Stromal 1 (ADAMDEC1+),0.896
UC2_UC1,Stromal 1 (ADAMDEC1+),0.896
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,Stromal 1 (ADAMDEC1+),0.897
UC2_UC1,Stromal 1 (ADAMDEC1+),0.898
UC2_UC1,T reticular,0.934
UC2_UC1,T reticular,0.933
UC2_UC1,T reticular,0.921
UC2_UC1,T reticular,0.897
UC2_UC1,T reticular,0.84
UC2_UC1,T reticular,0.884
UC2_UC1,T reticular,0.884
UC2_UC1,T reticular,0.843
UC2_UC1,T reticular,0.94
UC2_UC1,T reticular,0.885
UC2_UC1,Stromal 3 (C7+),0.964
UC2_UC1,Stromal 3 (C7+),0.953
UC2_UC1,Stromal 3 (C7+),0.965
UC2_UC1,Stromal 3 (C7+),0.955
UC2_UC1,Stromal 3 (C7+),0.96
UC2_UC1,Stromal 3 (C7+),0.958
UC2_UC1,Stromal 3 (C7+),0.954
UC2_UC1,Stromal 3 (C7+),0.974
UC2_UC1,Stromal 3 (C7+),0.966
UC2_UC1,Stromal 3 (C7+),0.958
UC2_UC1,Stromal 1 (CCL11+),0.819
UC2_UC1,Stromal 1 (CCL11+),0.841
UC2_UC1,Stromal 1 (CCL11+),0.808
UC2_UC1,Stromal 1 (CCL11+),0.808
UC2_UC1,Stromal 1 (CCL11+),0.808
UC2_UC1,Stromal 1 (CCL11+),0.841
UC2_UC1,Stromal 1 (CCL11+),0.816
UC2_UC1,Stromal 1 (CCL11+),0.808
UC2_UC1,Stromal 1 (CCL11+),0.817
UC2_UC1,Stromal 1 (CCL11+),0.808
UC2_UC1,myofibroblast (RSPO2+),0.981
UC2_UC1,myofibroblast (RSPO2+),0.977
UC2_UC1,myofibroblast (RSPO2+),0.983
UC2_UC1,myofibroblast (RSPO2+),0.975
UC2_UC1,myofibroblast (RSPO2+),0.975
UC2_UC1,myofibroblast (RSPO2+),0.985
UC2_UC1,myofibroblast (RSPO2+),0.975
UC2_UC1,myofibroblast (RSPO2+),0.988
UC2_UC1,myofibroblast (RSPO2+),0.979
UC2_UC1,myofibroblast (RSPO2+),0.975
UC2_UC1,Transitional Stromal 3 (C3+),0.854
UC2_UC1,Transitional Stromal 3 (C3+),0.87
UC2_UC1,Transitional Stromal 3 (C3+),0.761
UC2_UC1,Transitional Stromal 3 (C3+),0.816
UC2_UC1,Transitional Stromal 3 (C3+),0.933
UC2_UC1,Transitional Stromal 3 (C3+),0.881
UC2_UC1,Transitional Stromal 3 (C3+),0.783
UC2_UC1,Transitional Stromal 3 (C3+),0.991
UC2_UC1,Transitional Stromal 3 (C3+),0.795
UC2_UC1,Transitional Stromal 3 (C3+),0.831
UC2_UC1,myofibroblast,0.939
UC2_UC1,myofibroblast,0.871
UC2_UC1,myofibroblast,0.944
UC2_UC1,myofibroblast,0.934
UC2_UC1,myofibroblast,0.877
UC2_UC1,myofibroblast,0.876
UC2_UC1,myofibroblast,0.931
UC2_UC1,myofibroblast,0.929
UC2_UC1,myofibroblast,0.929
UC2_UC1,myofibroblast,0.931
UC2_UC1,arterial capillary,0.762
UC2_UC1,arterial capillary,0.762
UC2_UC1,arterial capillary,0.739
UC2_UC1,arterial capillary,0.735
UC2_UC1,arterial capillary,0.734
UC2_UC1,arterial capillary,0.844
UC2_UC1,arterial capillary,0.733
UC2_UC1,arterial capillary,0.737
UC2_UC1,arterial capillary,0.758
UC2_UC1,arterial capillary,0.716
UC2_UC3,IgA plasma cell,0.985
UC2_UC3,IgA plasma cell,0.98
UC2_UC3,IgA plasma cell,0.972
UC2_UC3,IgA plasma cell,0.96
UC2_UC3,IgA plasma cell,0.979
UC2_UC3,IgA plasma cell,0.972
UC2_UC3,IgA plasma cell,0.977
UC2_UC3,IgA plasma cell,0.978
UC2_UC3,IgA plasma cell,0.973
UC2_UC3,IgA plasma cell,0.976
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,IgA plasma cell,0.434
UC2_UC5,IgA plasma cell,0.425
UC2_UC5,IgA plasma cell,0.425
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,IgA plasma cell,0.424
UC2_UC5,Contractile pericyte (PLN+),0.795
UC2_UC5,Contractile pericyte (PLN+),0.795
UC2_UC5,Contractile pericyte (PLN+),0.795
UC2_UC5,Contractile pericyte (PLN+),1.0
UC2_UC5,Contractile pericyte (PLN+),1.0
UC2_UC5,Contractile pericyte (PLN+),1.0
UC2_UC5,Contractile pericyte (PLN+),0.727
UC2_UC5,Contractile pericyte (PLN+),0.727
UC2_UC5,Contractile pericyte (PLN+),0.727
UC2_UC5,Contractile pericyte (PLN+),0.727
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,BEST2+ Goblet cell,0.941
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,BEST2+ Goblet cell,0.914
UC3_UC1,BEST2+ Goblet cell,0.939
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,BEST2+ Goblet cell,0.94
UC3_UC1,TA,0.922
UC3_UC1,TA,0.923
UC3_UC1,TA,0.923
UC3_UC1,TA,0.886
UC3_UC1,TA,0.921
UC3_UC1,TA,0.92
UC3_UC1,TA,0.927
UC3_UC1,TA,0.878
UC3_UC1,TA,0.923
UC3_UC1,TA,0.922
UC3_UC1,Colonocyte,0.816
UC3_UC1,Colonocyte,0.719
UC3_UC1,Colonocyte,0.791
UC3_UC1,Colonocyte,0.81
UC3_UC1,Colonocyte,0.809
UC3_UC1,Colonocyte,0.619
UC3_UC1,Colonocyte,0.815
UC3_UC1,Colonocyte,0.816
UC3_UC1,Colonocyte,0.812
UC3_UC1,Colonocyte,0.816
UC3_UC1,Goblet cell,0.808
UC3_UC1,Goblet cell,0.808
UC3_UC1,Goblet cell,0.808
UC3_UC1,Goblet cell,0.844
UC3_UC1,Goblet cell,0.808
UC3_UC1,Goblet cell,0.866
UC3_UC1,Goblet cell,0.866
UC3_UC1,Goblet cell,0.866
UC3_UC1,Goblet cell,0.866
UC3_UC1,Goblet cell,0.86
UC3_UC1,IgA plasma cell,0.76
UC3_UC1,IgA plasma cell,0.762
UC3_UC1,IgA plasma cell,0.753
UC3_UC1,IgA plasma cell,0.755
UC3_UC1,IgA plasma cell,0.756
UC3_UC1,IgA plasma cell,0.755
UC3_UC1,IgA plasma cell,0.759
UC3_UC1,IgA plasma cell,0.762
UC3_UC1,IgA plasma cell,0.756
UC3_UC1,IgA plasma cell,0.757
UC3_UC1,BEST4+ epithelial,0.674
UC3_UC1,BEST4+ epithelial,0.76
UC3_UC1,BEST4+ epithelial,0.657
UC3_UC1,BEST4+ epithelial,0.65
UC3_UC1,BEST4+ epithelial,0.65
UC3_UC1,BEST4+ epithelial,0.65
UC3_UC1,BEST4+ epithelial,0.76
UC3_UC1,BEST4+ epithelial,0.76
UC3_UC1,BEST4+ epithelial,0.65
UC3_UC1,BEST4+ epithelial,0.689
UC3_UC1,EC cells (TAC1+),0.856
UC3_UC1,EC cells (TAC1+),0.837
UC3_UC1,EC cells (TAC1+),0.84
UC3_UC1,EC cells (TAC1+),0.875
UC3_UC1,EC cells (TAC1+),0.868
UC3_UC1,EC cells (TAC1+),0.882
UC3_UC1,EC cells (TAC1+),0.808
UC3_UC1,EC cells (TAC1+),0.868
UC3_UC1,EC cells (TAC1+),0.868
UC3_UC1,EC cells (TAC1+),0.812
UC3_UC1,Stem cells,0.899
UC3_UC1,Stem cells,0.909
UC3_UC1,Stem cells,0.904
UC3_UC1,Stem cells,0.902
UC3_UC1,Stem cells,0.799
UC3_UC1,Stem cells,0.819
UC3_UC1,Stem cells,0.932
UC3_UC1,Stem cells,0.871
UC3_UC1,Stem cells,0.904
UC3_UC1,Stem cells,0.904
UC3_UC1,cDC2,0.813
UC3_UC1,cDC2,0.79
UC3_UC1,cDC2,0.79
UC3_UC1,cDC2,0.79
UC3_UC1,cDC2,0.818
UC3_UC1,cDC2,0.825
UC3_UC1,cDC2,0.84
UC3_UC1,cDC2,0.803
UC3_UC1,cDC2,0.8
UC3_UC1,cDC2,0.82
UC3_UC2,IgA plasma cell,0.057
UC3_UC2,IgA plasma cell,0.06
UC3_UC2,IgA plasma cell,0.055
UC3_UC2,IgA plasma cell,0.055
UC3_UC2,IgA plasma cell,0.066
UC3_UC2,IgA plasma cell,0.055
UC3_UC2,IgA plasma cell,0.059
UC3_UC2,IgA plasma cell,0.054
